stname,ctyname,aa_change,rtd_change,hisp_change,white_change
Massachusetts,Berkshire County,0.004443618999999999,0.08503487999999998,0.010516792999999997,-0.01191586
New Mexico,Bernalillo County,1.0685599999999545e-4,0.01607132,0.01959523000000002,-0.011091709999999977
Michigan,Berrien County,-0.005937289999999984,2.26242069,0.012969937,-0.010242990000000063
North Carolina,Bertie County,-0.010696049999999957,0.06773018999999991,0.007945355999999999,0.0037261199999999994
Texas,Bexar County,0.0046538340000000095,-0.14173429999999998,0.012544630000000057,-0.01277507
Alabama,Bibb County,0.02129565,0.83181029,0.010328252000000003,-0.0310910900000001
Louisiana,Bienville Parish,-0.0034829400000000454,0.14827990000000013,0.0027041979999999997,-0.0010352200000000034
Wyoming,Big Horn County,0.0047276204,3.504604799999999,0.026486359,-0.034530280000000024
Minnesota,Big Stone County,0.0025104780000000004,0.8683510000000001,0.0064129594,-0.006597999999999993
North Dakota,Billings County,6.102786000000003e-4,5.1003568,0.0107142283,-0.03891641000000001
Idaho,Bingham County,0.0011100015,0.9656975999999999,0.007466609999999985,-0.008643680000000042
Iowa,Black Hawk County,0.004166118999999996,0.22302877999999993,0.005700626,-0.018199380000000098
Indiana,Blackford County,0.0024475217,1.6902362,0.0072609496,-0.011179810000000012
North Carolina,Bladen County,-0.006827860000000019,0.2522673900000001,0.0013183579999999917,-0.0012230199999999636
Oklahoma,Blaine County,0.014372517799999998,4.41418743,-0.076060933,-0.07001468999999982
Pennsylvania,Blair County,0.0012118500000000004,1.1529331,0.0026168253000000002,-0.005713109999999966
Texas,Blanco County,0.0063801718999999995,1.055927,0.010599360000000002,-0.01653070000000001
Virginia,Bland County,0.004752911999999998,3.3292171999999995,0.002164976199999999,-0.010239239999999983
Georgia,Bleckley County,-0.00788616999999997,0.7278382999999997,0.005564784,0.001391290000000045
Tennessee,Bledsoe County,0.03388891,1.9508903000000002,0.0027225129999999993,-0.03733246999999995
Alabama,Blount County,0.0031679469999999973,5.575862000000001,0.014309947000000003,-0.011328290000000019
Minnesota,Blue Earth County,0.010661952000000002,0.32095882,0.010232448000000002,-0.01989114999999997
Idaho,Boise County,0.0016631148999999997,1.4780578,0.006148867000000002,-0.01106041000000002
Mississippi,Bolivar County,-0.002986669999999969,0.03411453999999997,0.0026995609999999996,-0.0028282099999999977
